playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,7jsie9uyFMQrtw5r1T3A4o,风不会姗姗来迟,31,,4Ge1IRZXybQw8c9m6fC3w3,尹昔眠,"['gufeng', 'c-pop', 'mandopop', 'chinese r&b']",45,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3nScD62ENHudqm06CedmgS,晴天有雨,14,,19nBOLVLKxrijWEvjpXFI8,苏星婕,"['chinese r&b', 'c-pop', 'mandopop', 'gufeng']",50,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,2RqWNZYUMEgBir325wHKLs,意外,23,,7mJv2vnmyEbD8eyI7tMLKs,于冬然,"['mandopop', 'c-pop']",54,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4CbRdt1vl6MUwEnsJieYjb,姑娘別哭泣,50,,3Ikh0twRxJ2Bol6KJqHQuU,柯柯柯啊,"['gufeng', 'c-pop', 'mandopop']",38,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3Ce6E8pQvhgn6Cj9OA5yAC,骁 (with Jing Di),49,,4tz3iHSl8lR9ry1BOiF0N8,"井朧, 井迪","['gufeng', 'mandopop', 'c-pop']",49,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,11c5FkGYDE3EwrMyPV7gng,落差,44,,6bihkoxBTTUE71xCJaeIU6,"In K, 王忻辰","['chinese r&b', 'c-pop', 'mandopop', 'gufeng']",37,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,42xvRkfhKlm4mUWwpVGplw,借一场雨,43,,2cJZUOYjYISAvNtEwAFdpE,en,"['mandopop', 'gufeng']",34,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,5rqWBhJRUh1tuCBltmGHxM,我要,53,,6AeSOobqOeL1PpekoXIcGB,林小珂,"['mandopop', 'c-pop', 'gufeng']",46,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,5MofaI9zhEBle5MBgXI1Vd,世界这么大还是遇见你,59,,0EZ1dmFa27KXSwDwcZKT1O,程响,"['gufeng', 'c-pop', 'mandopop']",52,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,49MzKlO2t325zW3QDN2NW1,避嫌,42,,4lQ2LwNj8DlXSM3UntsbGc,王靖雯,"['c-pop', 'mandopop']",55,,,,,,,,,,,,,
